Streamer Name,Watch Time (Minutes)
xQcOW,6196161750
summit1g,6091677300
ESL_CSGO,3970318140
Tfue,3671000070
Asmongold,3668799075
NICKMERCS,3360675195
Fextralife,3301867485
loltyler1,2928356940
Anomaly,2865429915
TimTheTatman,2834436990
LIRIK,2832930285
Riot Games (riotgames),2674646715
sodapoppin,2329440420
CohhCarnage,2029212570
Lord_Kebun,1943299035
Castro_1021,1845157080
DrDisrespect,1839882465
Pestily,1659741015
GamesDoneQuick,1619144100
MOONMOON,1527882945
DrLupo,1517612010
Myth,1479214575
nl_Kripp,1470897720
LEC,1470431925
Fresh,1464179820
LCS,1461310140
ROSHTEIN,1435735725
TFBlade,1394312895
LCK,1351758525
Yassuo,1347412425
HasanAbi,1339344945
BeyondTheSummit,1339097490
Bugha,1324519320
RocketLeague,1322448480
Clix,1256647110
Gorgc,1252711830
ONSCREEN,1197130335
AdmiralBahroo,1188645990
Quin69,1186941750
dasMEHDI,1172969025
sneakylol,1149209820
NickEh30,1148114400
Vader,1110952500
forsen,1106781045
StarLadder_cs_en,1088832810
Symfuhny,1076179485
DreamHackCS,1052904720
Mizkif,1052047935
Rainbow6,1031011170
Maximilian_DOOD,1023316710
Trainwreckstv,1021699920
dota2ti,1017577605
SypherPK,1016450160
Sacriel,1002681105
dakotaz,978947160
AdmiralBulldog,972317520
pokimane,964334055
Method,905107560
Nightblue3,899215845
EsfandTV,888938940
shroud,888505170
Scarra,864157695
LPL,850636305
OverwatchLeague,805163370
Thijs,794621265
Swagg,790021440
TeePee,789698115
LVNDMARK,788421150
BLASTPremier,753808200
cloakzy,748023225
aceu,744620970
Elajjaz,726000045
CDNThe3rd,722562675
WePlayEsport_EN,704823000
allkeyshop_tv,663185955
PlayHearthstone,661075170
ESL_DOTA2,661049190
Kitboga,656365305
DansGaming,653181210
Destiny,650910525
RATIRL,649761570
Yogscast,644580630
dogdog,622199835
chocoTaco,620395515
Amouranth,618067800
UberHaxorNova,615472275
Giantwaffle,612594165
imaqtpie,596368095
x2Twins,595707975
SmiteGame,586925850
RatedEpicz,582401145
Anton,581034300
benjyfishy,580787955
CasinoDaddy,577240710
Jinnytty,569601090
Mathil1,561997440
Greekgodx,561616335
ClassyBeef,558883590
Diegosaurs,558587535
BobRoss,558170835
Nick28T,556741020
GMHikaru,554249955
Chap,550951215
Klean,545108145
Gladd,543954570
CriticalRole,539495145
Vinesauce,536989080
ludwig,525883695
RduLIVE,525737445
Hiko,523057245
FENGRUSH,521568750
Chess,521511525
72hrs,519458565
TwitchRivals,516113670
hashinshin,515812965
JoshOG,510984165
B0aty,510323715
AustinShow,509643945
39daph,509052375
scump,506838930
Kyle,501208575
Aydan,495563580
Mongraal,492733995
EmadGG,487281450
lilypichu,477949200
KingGeorge,472786395
KingRichard,472405995
Zizaran,460519830
imls,460332570
TSM_ImperialHal,459076530
Ramee,457242510
Towelliee,453487500
FollowGrubby,451910415
IWillDominate,442870530
Nadeshot,440331540
buddha,438460680
Deadlyslob,438143850
ESAMarathon,433329345
Nmplol,429213420
Sequisha,426325350
HusKerrs,425044665
Shiphtur,420316860
BarbarousKing,419187600
moistcr1tikal,415091820
Rush,412717875
LosPollosTV,411900525
DreamLeague,411414600
Voyboy,411274050
DatModz,409985220
dafran,408885990
Aurateur,407829960
pokelawls,407214675
A_Seagull,407156655
koil,403848390
itsHafu,400822020
StaysafeTV,399746130
Loeya,398289900
btssmash,389890800
Payo,385755615
Shotz,385739280
m0xyy,384746505
LexVeldhuis,380251830
NateHill,379971075
Emongg,379682235
fl0m,379633995
AsmodaiTV,379345935
Grimmmz,377312595
BurkeBlack,372767025
Trick2g,371417130
FORMAL,369971310
Fortnite,369166335
ANGRYPUG,360278835
btscsgo,357966315
ShivFPS,355389630
Distortion2,354144315
boxbox,353396640
singsing,346171920
bateson87,342162660
NymN,340095510
NairoMK,335695215
UnknownxArmy,333869670
s1mple,333097410
Sjow,331726155
scoped,330160515
keanelol,327242790
sips_,325731015
ESL_CSGOb,325637220
midbeast,324433515
Veritas,320121405
daltoosh,319194420
TSM_Viss,316437645
Anthony_Kongphan,316366395
EASPORTSFIFA,313078095
Flashpoint,311325840
Steelmage,311218875
AvoidingThePuddle,309117315
Slushpuppy,307001595
itmeJP,306920835
tarzaned,306010080
Doublelift,301917225
Kiwo,299469345
Savjz,298693050
BobbyPoffGaming,298668465
The_Happy_Hob,295999245
Timmac,294663825
Nikolarn,293952480
RiffTrax,293583075
